,Varianta,Varianta Cumulata,Procent varianta,Procent cumulat
0,6.565752899031422,6.565752899031422,43.77168599354281,43.77168599354281
1,2.2971442441503758,8.862897143181797,15.314294961002505,59.08598095454531
2,1.524836516031917,10.387733659213714,10.165576773546114,69.25155772809143
3,1.3239500560212674,11.711683715234981,8.826333706808448,78.07789143489987
4,0.8496545961267657,12.561338311361746,5.664363974178438,83.74225540907831
5,0.6726433392218794,13.233981650583626,4.484288928145862,88.22654433722417
6,0.5167392537760656,13.750720904359692,3.444928358507104,91.67147269573127
7,0.3790987393125719,14.129819643672263,2.5273249287504793,94.19879762448174
8,0.2573041247885983,14.387123768460862,1.7153608319239888,95.91415845640573
9,0.22806974039352604,14.615193508854388,1.5204649359568403,97.43462339236257
10,0.14716735012579657,14.762360858980184,0.9811156675053104,98.41573905986787
11,0.1187500025575729,14.881110861537756,0.7916666837171527,99.20740574358503
12,0.07592299476301902,14.957033856300775,0.5061532984201268,99.71355904200516
13,0.030515763186874753,14.98754961948765,0.2034384212458317,99.916997463251
14,0.012450380512360377,15.00000000000001,0.08300253674906918,100.00000000000006
