Tara,DU,DM,DS,DV,DA,DD,SA,BR,TA,SD,IA
Austria,15,3.3,0.2,14.4,27.1,11,4.4,4.2,21.1,4.9,3.83
Belgia,,,,,,,4.3,4,16.5,5.3,2.67
Bulgaria,11.1,3.2,1.5,20.6,21.4,26,2.7,4.6,29.6,6.4,0.76
Croatia,8.2,2.1,0.4,20.3,16.6,23,3,4.2,24.6,7.1,1.63
Cipru,8.2,1.6,0.7,7.8,7.7,12,4.3,2.1,17.3,6.1,1.53
Cehia,8,1.7,0.2,19.7,17,18,4.5,2.1,23.7,7.7,5.73
Danemarca,16.5,4.5,0.8,19.6,45.9,14,6.5,3.4,17.7,4.6,2.8
Estonia,18.9,4.8,0.5,14.5,24.6,16,3.1,2.2,22.9,5.5,2.8
Finlanda,13.3,3.1,0.6,30.8,45.7,14,9.2,3,24.9,7.7,4.63
Franta,15.5,4.3,0.9,25,30.2,11,8.8,5.6,14.4,10,3.16
Germania,22.5,6.3,0.7,17.1,21.5,13,6.1,5.3,28.5,7.2,6.13
Grecia,8.2,1.9,0.6,21,18.7,22,4.4,3.2,20.9,9.2,2.13
Ungaria,17.6,5.1,0.8,17.8,16,22,4.9,4.1,31.9,8.1,3.86
Irlanda,16.9,4.9,0.8,13.7,8.6,14,9,2.9,15.5,4.6,3.1
Italia,10.9,2.5,0.4,18.4,21.1,17,4.8,5.1,20.6,6.7,2.4
Letonia,12.9,3.1,0.5,28.5,18,19,3.5,4,29.4,4.7,2.8
Lituania,9.4,2,0.3,19.5,18.3,21,2.7,6.1,28.1,4.4,2.4
Luxemburg,22.5,5.9,1.1,34.7,36.1,13,6.8,5.5,16.5,5.6,4.83
Malta,9.9,2.2,0.3,9.5,15.2,13,5.8,1.1,21.4,8.3,3.4
Olanda,,,,,,,5.5,5.5,16.8,5.4,5.6
Polonia,12,2.8,0.5,23.6,13,17,4.1,3.1,23.1,6.6,1.43
Portugalia,16.6,5.9,1,23.2,20.8,15,5,5.8,25.3,9.3,2.23
Romania,13.2,2.7,0.7,19.1,17.9,21,2,2,17.1,4.8,0.73
Slovacia,9.9,1.8,0.3,18.8,14.5,20,3.9,2.7,25.8,6.9,2.56
Slovenia,15.1,3.8,0.6,25.5,31.7,16,5,4.1,24.8,6.9,5.23
Spania,9.5,2.9,0.8,13.4,17,15,4.5,3.3,18.7,6.8,3.03
Suedia,15.6,5.3,1.1,18,31,16,7.6,1.5,16.2,4.8,3.76
Marea Britanie,11.3,4.1,1.2,10.1,25.1,19,9.4,2.6,16.4,5.8,2.53
