,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
AlteCauze,0.9053972811705399,-0.15538959171578948,0.025067947899940768,0.006999489968888719,0.11855557158810888,0.14901844716821833,0.07734568367399032,0.21670967682561879,0.054436868878049924,-0.10312935152494873,0.18779956604205106,-0.11933566736484005,0.052659542679095055,-0.01852947420776707
BoliApCirc,0.9231105201718985,-0.054035983459654796,-0.06095317964034319,0.10900370745489205,-0.012554342948088578,-0.21128885770625194,-0.12170631654304657,0.011572667036291421,0.10192426267070112,-0.1335139947930074,-0.1785836332087557,-0.029907523062389543,0.0390752117868213,-0.0841132948905839
BoliApDig,0.9002359154009258,0.12998811108149705,-0.0002564596716875546,0.15731572422448936,-0.09657862721705128,-0.19495481783481414,-0.20632104204421112,-0.012678733381437244,-0.03739780165516629,0.1515304527412984,0.05848068013476431,-0.13726523851016584,-0.10560711982891259,-0.009564347856655763
BoliApGenitUrin,0.816029055872677,-0.05912482913054902,-0.33112987755635503,-0.05006361107211154,0.17189280044068436,0.21946977458722558,-0.12951959787056996,0.2927591720562724,-0.09355080749046552,0.1140251643332226,-0.09034280309888683,0.09088721284859116,-0.007605652037923249,0.004056177266650812
BoliApResp,0.9096424142339604,0.039814162886867156,-0.09677582429401324,-0.1344770459130467,-0.2092371983958165,-0.039420221598843,-0.16355219784458083,-0.05218988627752946,0.011604666239313598,-0.13225117616289636,0.13570460216687869,0.16846187156134718,-0.06534253329101053,-0.004333607152635424
BoliSistNerv,0.7514018918680735,0.10798648203118433,-0.20861279964017568,-0.25888858234447026,-0.1560678731098973,0.468340832529629,-0.006755994990480692,-0.24231021545916429,0.044275257713521726,0.01997014994165228,-0.048198887639814614,-0.07606573099254177,0.006512482008287139,-0.01485503215922159
BoliEndocr,0.3078341533253083,0.7552558556047448,-0.24154260319641457,-0.38577605214325,-0.0778430895975332,-0.25757568621247817,0.21188443874161728,0.08919506432088352,0.0037783895053971005,0.03632436218645548,0.006420314127888918,-0.009478091548387186,0.02942842328934146,-0.008623061139927512
BoliInfect,0.7001442006379586,-0.09897138446882303,0.5275310522317845,0.01525881772941595,-0.29227879510980487,0.0924003883143699,0.2751532437853183,0.10606632854073815,-0.17519277766979313,-0.015123006207396452,-0.07350067153191796,0.012380551800954022,-0.060895194431411205,-0.019280953999198193
TraumOtraviri,0.900984300367942,0.016452370940369603,0.26835356516260594,0.05704518762377831,-0.09559562128155386,-0.08393775106215286,-0.1253872206107205,-0.10467648837165752,-0.1832489565672045,0.08652141329123046,0.039518958032026576,0.038359159711593635,0.15958213116968628,0.0161203174683887
MalformCong,0.6798642753775505,0.032176054150383764,0.5664398837124077,-0.2003118123818642,0.27917866848961614,0.0011108956438485526,0.00600140588276838,-0.03326919362747826,0.2880389239595836,0.09989796344066695,-0.0020809647489954037,0.05881825471907692,-0.01515271180858756,-0.006777789156586708
Nastere,0.6815670206360036,-0.34178145972207963,-0.3982770476953829,0.326978420193213,-0.10534481119441735,-0.07381786024866686,0.3003855552143086,-0.08009675437830042,0.14601010539045003,0.11170470156923856,0.03824633900237334,0.06514909278857889,0.014097962808371568,-0.014694491334237196
TulbMentale,0.07911771889563257,0.8135299728207088,0.10574095316959195,0.5145267860573448,-0.012056747243775439,0.21307826393408352,-0.011782213943763145,0.02819626903901079,0.08200028062083632,-0.038049060688137806,-0.004895737576821974,0.0323874367798477,0.005285733065076819,0.015369285611408568
Tumori,0.9628072741616829,-0.11943807375563384,-0.051117139768791085,-0.011009136758809485,-0.03942850173838179,-0.10543544061759318,0.024661044156554648,0.011466502363127193,0.08407851586180629,-0.08074607275890561,-0.08719551235594049,-0.045915385244408635,-0.0042094950760711404,0.1388291205195093
PerPerinatala,0.7793002359327734,0.11307633035447184,-0.07799159806638566,0.0629041068116065,0.5057948218216962,-0.04502025928796306,0.14253130886755777,-0.19029765472861532,-0.22247208162477267,-0.06337761448155187,0.002868074065323331,0.0075918768071044605,-0.043375805231250744,-0.00487860571062034
